LBE,Brooklyn,11204,
MBE,WBE,BLACK,Cambria Heights,11411,
MBE,BLACK,Yorktown Heights,10598,
MBE,BLACK,Long Beach,11561,
MBE,ASIAN,Brooklyn,11235,
MBE,WBE,ASIAN,New York,10010,
MBE,ASIAN,New York,10026,
MBE,BLACK,New York,10026,
MBE,HISPANIC,New York,10034,
MBE,WBE,BLACK,Staten Island,10303,
MBE,ASIAN,New York,10018,
MBE,WBE,HISPANIC,New York,10034,
MBE,WBE,ASIAN,New York,10013,
MBE,BLACK,Jamaica,11434,
WBE,NON-MINORITY,New York,10022,
MBE,BLACK,Staten Island,10304,
MBE,BLACK,Bronx,10454,
WBE,NON-MINORITY,New Rochelle,10801,
WBE,NON-MINORITY,Staten Island,10301,
WBE,NON-MINORITY,New York,10006,
MBE,BLACK,Brooklyn,11239,
MBE,HISPANIC,Lincoln Park,7035,
MBE,WBE,BLACK,New York,10027,
WBE,NON-MINORITY,Staten Island,10310,
MBE,ASIAN,New York,10013,
WBE,NON-MINORITY,Cliffside Park,7010,
MBE,WBE,BLACK,Bronx,10456,
LBE,New York,10003,
MBE,HISPANIC,Staten Island,10303,
MBE,ASIAN,New York,10001,
MBE,BLACK,New York,11435,
WBE,Ozone Park,11417,
WBE,NON-MINORITY,Lawrence,11559,
MBE,LBE,ASIAN,Brooklyn,11230,
MBE,HISPANIC,Lynbrook,11563,
MBE,BLACK,Newark,7104,
WBE,NON-MINORITY,College Point,11356,
MBE,ASIAN,Berkeley Heights,7922,
MBE,WBE,LBE,HISPANIC,New York,10040
MBE,ASIAN,East Elmhurst,11370,
LBE,Astoria,11106,
MBE,WBE,HISPANIC,New York,10001,
MBE,LBE,BLACK,Bronx,10457,
MBE,WBE,BLACK,South Ozone Park,11420,
MBE,ASIAN,Congers,10920,
MBE,BLACK,Bronx,10456,
MBE,ASIAN,Brooklyn,11219,
MBE,ASIAN,Bayside,11360,
WBE,NON-MINORITY,New York,10001,
MBE,HISPANIC,Bronx,10462,
MBE,LBE,BLACK,Bronx,10470,
MBE,ASIAN,Plainview,11803,
WBE,NON-MINORITY,Bronx,10461,
WBE,NON-MINORITY,Copiague,11726,
WBE,NON-MINORITY,Bellingham,98229,
MBE,BLACK,Jamaica,11435,
WBE,NON-MINORITY,Forest Hills,11375,
WBE,NON-MINORITY,New York,10012,
MBE,WBE,LBE,BLACK,Bronx,10463
MBE,BLACK,Bay Shore,11706,
WBE,NON-MINORITY,Montclair,7042,
WBE,NON-MINORITY,Elmhurst,11101,
MBE,ASIAN,Hicksville,11801,
MBE,HISPANIC,Westwood,7675,
MBE,ASIAN,New York,10018,
LBE,Miller Place,11764,
MBE,ASIAN,Jericho,11753,
WBE,NON-MINORITY,New York,10107,
MBE,BLACK,Jamaica,11432,
MBE,ASIAN,Flushing,11367,
MBE,WBE,BLACK,New York,10019,
MBE,WBE,ASIAN,Richmond Hill,11418,
MBE,BLACK,Hempstead,11550,
MBE,WBE,HISPANIC,Bronx,10465,
MBE,WBE,HISPANIC,Croton-on-Hudson,10520,
MBE,HISPANIC,New York,10010,
WBE,NON-MINORITY,Bronx,10461,
WBE,NON-MINORITY,Mineola,11501,
MBE,ASIAN,Mount Vernon,10550,
MBE,HISPANIC,Port Chester,10573,
WBE,NON-MINORITY,Merrick,11566,
WBE,NON-MINORITY,Long Island City,11101,
MBE,HISPANIC,Brooklyn,11208,
MBE,ASIAN,Floral Park,11001,
WBE,NON-MINORITY,New York,10017,
WBE,NON-MINORITY,New York,10017,
MBE,ASIAN,New York,10016,
MBE,BLACK,Bronx,10469,
MBE,ASIAN,New York,10011,
MBE,BLACK,Bronx,10466,
MBE,ASIAN,East Meadow,11554,
WBE,NON-MINORITY,Ocean Township,7712,
MBE,ASIAN,Bronx,10454,
WBE,NON-MINORITY,Flushing,11366,
WBE,NON-MINORITY,Fairfield,7004,
MBE,WBE,ASIAN,New York,10016,
MBE,ASIAN,Richmond Hill,11418,
MBE,BLACK,Brooklyn,11216,
MBE,WBE,HISPANIC,New York,10013,
MBE,WBE,HISPANIC,Bronx,10454,
MBE,ASIAN,New York,10010,
WBE,NON-MINORITY,Hillsdale,7642,
MBE,WBE,BLACK,Brooklyn,11238,
MBE,LBE,ASIAN,Bayside,11361,
MBE,HISPANIC,Bronx,10456,
MBE,ASIAN,New York,10018,
WBE,NON-MINORITY,Elmsford,10523,
MBE,ASIAN,Brooklyn,11220,
WBE,NON-MINORITY,Chappaqua,10514,
MBE,ASIAN,Ozone Park,11417,
MBE,ASIAN,Jamaica,11435,
MBE,HISPANIC,Westbury,11590,
MBE,ASIAN,New York,10174,
MBE,HISPANIC,New York,10032,
WBE,New York,10175,
MBE,WBE,HISPANIC,New York,10128,
WBE,NON-MINORITY,Brooklyn,11217,
MBE,BLACK,Brooklyn,11225,
MBE,BLACK,Brooklyn,11225,
MBE,WBE,HISPANIC,Bloomfield,7003,
MBE,HISPANIC,Bronx,10463,
WBE,NON-MINORITY,Highland Park,8904,
MBE,WBE,HISPANIC,Astoria,11102,
MBE,BLACK,Brooklyn,11221,
WBE,NON-MINORITY,South Salem,10590,
MBE,BLACK,Bronx,10467,
MBE,LBE,HISPANIC,Middletown,10940,
MBE,BLACK,Brooklyn,11212,
MBE,ASIAN,N Plainfield,7060,
MBE,BLACK,Watchung,7069,
MBE,ASIAN,Flushing,11355,
WBE,NON-MINORITY,Bronx,10474,
MBE,WBE,HISPANIC,Forest Hills,11375,
MBE,BLACK,Bronx,10467,
WBE,NON-MINORITY,New York,10021,
WBE,NON-MINORITY,Whitestone,11357,
MBE,BLACK,Plainfield,7060,
WBE,NON-MINORITY,New York,10013,
MBE,LBE,ASIAN,Brooklyn,11214,
WBE,NON-MINORITY,Brooklyn,11206,
MBE,LBE,HISPANIC,Jamaica,11434,
WBE,NON-MINORITY,LIC,11101,
MBE,WBE,HISPANIC,Cliffside Park,7010,
WBE,NON-MINORITY,White Plains,10604,
MBE,ASIAN,Flushing,11354,
MBE,ASIAN,New York,10016,
WBE,NON-MINORITY,Staten Island,10314,
MBE,ASIAN,Lindehurst,11757,
MBE,ASIAN,Jericho,11753,
WBE,NON-MINORITY,Amityville,11701,
MBE,HISPANIC,Maspeth,11378,
MBE,WBE,BLACK,Brooklyn,11234,
MBE,BLACK,New York,10030,
MBE,WBE,BLACK,Huntington Station,11746,
MBE,WBE,NATIVE AMERICAN,Lewiston,14092,
MBE,HISPANIC,Bronx,10462,
MBE,BLACK,Far Rockaway,11691,
MBE,BLACK,St. Albans,11412,
WBE,NON-MINORITY,Brooklyn,11230,
MBE,HISPANIC,Great Neck,11021,
MBE,ASIAN,Albertson,11507,
MBE,WBE,BLACK,New York,10118,
WBE,NON-MINORITY,New York,10017,
MBE,BLACK,St. Albans,11412,
MBE,WBE,ASIAN,Staten Island,10302,
WBE,NON-MINORITY,New York,10010,
WBE,NON-MINORITY,Flemington,8822,
MBE,BLACK,Brooklyn,11203,
MBE,WBE,ASIAN,Alpine,7620,
MBE,WBE,ASIAN,New York,10018,
MBE,HISPANIC,Hempstead,11550,
MBE,HISPANIC,Mount Vernon,10552,
MBE,BLACK,Queens Village,11427,
WBE,NON-MINORITY,Brooklyn,11206,
MBE,HISPANIC,Elmhurst,11373,
MBE,ASIAN,Brooklyn,11232,
MBE,HISPANIC,Brooklyn,11231,
WBE,NON-MINORITY,Staten Island,10306,
WBE,NON-MINORITY,New York,10013,
WBE,NON-MINORITY,New York,10021,
WBE,NON-MINORITY,New York,10018,
MBE,WBE,BLACK,Brooklyn,11205,
MBE,WBE,BLACK,Brooklyn,11234,
MBE,ASIAN,South Plainfield,7080,
WBE,NON-MINORITY,Huntington,11743,
MBE,LBE,ASIAN,Woodside,11377,
MBE,BLACK,New York,10001,
MBE,BLACK,Brooklyn,11221,
WBE,NON-MINORITY,New York,10176,
MBE,BLACK,Hackensack,7601,
MBE,ASIAN,Bronx,10462,
MBE,BLACK,Yonkers,10703,
MBE,BLACK,Bronx,10467,
MBE,HISPANIC,New Hyde Park,11040,
MBE,ASIAN,East Elmhurst,11370,
MBE,BLACK,New York,10030,
MBE,HISPANIC,Long Island City,11101,
WBE,NON-MINORITY,Staten Island,10302,
WBE,NON-MINORITY,New York,10001,
MBE,WBE,HISPANIC,New York,10001,
MBE,HISPANIC,Brooklyn,11233,
MBE,ASIAN,New York,10165,
MBE,ASIAN,Dayton,8810,
MBE,ASIAN,Springfield Gardens,11413,
MBE,HISPANIC,New York,10018,
MBE,ASIAN,Hillsborough,8844,
MBE,BLACK,Brooklyn,11226,
MBE,WBE,HISPANIC,Edison,8837,
MBE,HISPANIC,New York,10033,
MBE,BLACK,Rosedale,11422,
MBE,LBE,ASIAN,Brooklyn,11204,
MBE,ASIAN,Long Island City,11101,
MBE,WBE,BLACK,New York,10029,
MBE,WBE,BLACK,Cherry Hill,8003,
